"","county","market_name","location","address_line_1","city","state","zip","contact","phone","market_link","operation_hours","operation_season","fmnp","latitude","longitude","location_points","neighborhood","days_between_markets","season_date_range"
"22","Bronx","Bissel Gardens Farmers' Market","Baychester Ave. & E. 241 St.,Bronx","Baychester Ave and East 241st St","Bronx","NY",10470,"Heather Warren-Dombrowa",3474272547,"http://www.justfood.org","Wed/Sat  9am-5pmSaturday  9am-5pm","July 10 - November 23","Y",40.90154,-73.8469,"Baychester Ave and East 241st St
(40.90154, -73.8469)","Northeast Bronx","3|4","July 10 - November 23"
"23","Bronx","Bronx Borough Hall Greenmarket","Grand Concourse161st & 162nd St.","901 Grand Concourse","Bronx","NY",10452,"Chelsea Whittaker",2127887476,"http://www.grownyc.org","Tuesday  8am - 4pm","June 4 - November 26","Y",40.82715,-73.92278,"901 Grand Concourse
(40.82715, -73.92278)","High Bridge and Morrisania","7","June 4 - November 26"
"24","Bronx","Harvest Home Bronx Terminal Farmers' Market","Bronx Terminal Mall,Between E. 150th and E. 151st Sts., and River Ave.","151st Street and River Avenue","Bronx","NY",10456,"Maritza Owens",2128283361,"http://www.harvesthomefm.org","Saturday  10am-5pm","July 6 - November 16","Y",40.82284,-73.92875,"151st Street and River Avenue
(40.82284, -73.92875)","High Bridge and Morrisania","7","July 6 - November 16"
"25","Bronx","Harvest Home Co-op City Farmers' Market","Parking Lot 3, W side Co-op City Blvd.N side of Bellamy Loop","Co-Op City Blvd and Bellamy Loop","Bronx","NY",10475,"Maritza Owens",2128283361,"http://www.harvesthomefm.org","Saturday  8am-4pm","July 6 - November 16","Y",40.87225,-73.8244,"Co-Op City Blvd and Bellamy Loop
(40.87225, -73.8244)","Northeast Bronx","7","July 6 - November 16"
"26","Bronx","Harvest Home Echo Park Farmers' Market","Ryer St. and Burnside Ave.","East Burnside Ave and Ryer Ave","Bronx","NY",10457,"Maritza Owens",2128283361,"http://www.harvesthomefm.org","Wednesday  8am-4pm","July 10 - November 20","Y",40.85085,-73.90148,"East Burnside Ave and Ryer Ave
(40.85085, -73.90148)","Central Bronx","7","July 10 - November 20"
"27","Bronx","Harvest Home Forest Ave. Farmers' Market","Forest Ave., btwn Westchester Ave. &  E. 156th St.","East 156st St and Forest Ave","Bronx","NY",10455,"Maritza Owens",2128283361,"http://www.harvesthomefm.org","Wednesday  8am-4pm","July 10 - November 20","Y",40.81815,-73.90624,"East 156st St and Forest Ave
(40.81815, -73.90624)","Hunts Point and Mott Haven","7","July 10 - November 20"
"28","Bronx","Harvest Home Jacobi  Hospital Farmers' Market","1400 Pelham Parkway,at Eastchester Rd.","1400 Pelham Pkwy","Bronx","NY",10461,"Maritza Owens",2128283361,"http://www.harvesthomefm.org","Tuesday  8am-4pm","June 11 - November 19","Y",40.85407,-73.8469,"1400 Pelham Pkwy
(40.85407, -73.8469)","Southeast Bronx","7","June 11 - November 19"
"29","Bronx","Harvest Home Jerome Ave. Farmers' Market","Plaza Drive, btwn 170th St. & Elliot Place","Jerome Ave and East 170th St","Bronx","NY",10452,"Maritza Owens",2128283361,"http://www.harvesthomefm.org","Friday  8am-4pm","July 5 - November 15","Y",40.84024,-73.91763,"Jerome Ave and East 170th St
(40.84024, -73.91763)","High Bridge and Morrisania","7","July 5 - November 15"
"30","Bronx","Harvest Home Mt. Eden Farmers' Market","Mt. Eden & Morris Aves., near Bronx-Lebanon Hospital","Mt Eden Pkwy and Morris Ave","Bronx","NY",10457,"Maritza Owens",2128283361,"http://www.harvesthomefm.org","Thursday  8am-4pm","May 16 - November 14","Y",40.84306,-73.90955,"Mt Eden Pkwy and Morris Ave
(40.84306, -73.90955)","Central Bronx","7","May 16 - November 14"
"31","Bronx","Harvest Home North Central Bronx Farmers' Market","Mosholu Parkway North & Jerome Ave.","Jerome Ave and East Mosholu Pkwy North","Bronx","NY",10467,"Maritza Owens",2128283361,"http://www.harvesthomefm.org","Wednesday  8am-4pm","July 10 - November 20","Y",40.88038,-73.88378,"Jerome Ave and East Mosholu Pkwy North
(40.88038, -73.88378)","Bronx Park and Fordham","7","July 10 - November 20"
